id,chart_type,owner_class,key,kind,description,data_type,default_value,inherited_from,doc_url,synonyms,examples,source_version,scraped_at,text_tsvector,embedding
3,xychart,xychart,ariaControls,settings,aria-controls setting.,,,,,[],{},v5,2025-11-11 09:02:55.685+00,"'aria':5 'aria-controls':4 'ariacontrols':3 'controls':6 'setting':7 'xychart':1,2","[-0.15787701,0.06171678,-3.1150928,-1.3640441,0.36388543,-0.8864526,-0.04698199,-0.1455016,0.44036612,0.58779526,-0.20939308,0.33336136,1.8199427,0.39390922,0.5615363,-0.087612756,0.15684861,1.0573282,0.11591182,-0.93326354,0.26425338,-1.4740094,-0.7569958,0.4848021,1.557478,0.37412545,0.4191888,0.48881325,-0.8736998,0.024729848,1.5749681,-0.73880565,0.28404412,1.0814018,0.26412752,-0.50668585,1.4301729,0.78333557,-0.9840629,1.3624864,0.255485,0.37454286,0.5465596,0.22511193,0.23958135,-1.1299423,1.0534962,0.5133804,-0.04162977,-0.69762367,0.110942274,-0.45982468,-0.69419163,-1.4333068,0.44821176,-0.47035995,0.5826849,0.75021994,0.8049141,-1.3774414,-0.50266445,0.7623276,0.40975255,2.1894987,0.5099534,0.11938636,-0.47759724,0.25850576,0.02894324,-0.5644217,0.9517963,-0.06632548,0.5248573,0.15349959,-0.09728457,-0.74937016,-0.68877447,-0.81625223,-0.4636026,-0.054110758,0.097382784,-0.3775145,0.82855517,0.23048458,0.7436036,0.15283771,0.43453452,-0.459821,-1.3062608,1.6068122,1.6594439,0.14513636,-0.21102035,1.0551436,-0.048861332,-0.5917494,-0.67860305,1.1059843,0.25852737,-0.22073483,-0.06457052,1.2079122,-0.353257,-0.030871317,0.14556506,0.31804803,-0.9318102,0.106936835,0.53197175,-0.27948707,-0.4770255,0.14952266,0.48817182,-1.0241077,0.3838925,-0.8730703,0.7032829,-0.5219071,1.0030304,-0.061760344,-0.89481455,0.13686714,-0.105056085,0.13616562,-0.022308536,-0.25144503,-0.9353212,0.94218576,-0.3321302,-0.80076873,-0.6424475,-0.98281837,0.43169332,0.8264071,-0.74370754,0.41718465,0.27459607,-0.924802,0.3302382,0.24229796,0.20098847,1.5310429,-0.60994613,-0.6400244,-0.6276029,-0.5058956,1.0687586,0.30411664,-0.41537955,-1.0798821,0.60162085,-0.5419296,0.028155316,0.6719636,0.1945597,-0.20100969,0.49775332,0.5588716,-0.33029854,0.08035896,0.92269933,1.1677467,-0.4119138,0.17700179,-0.9078864,-0.65032655,-0.45185634,0.18699825,0.21413615,-0.11887261,-0.974767,-0.72714305,-0.63839066,0.33793545,0.85106134,0.2975286,0.40015346,-1.237093,1.1484084,-1.8469801,1.1081138,-0.9371711,0.52906054,0.98698515,-0.49510914,-0.52533674,0.693992,-0.98394656,-0.692006,-0.5891953,0.8432746,-0.14917904,-1.3155699,-0.43404746,-0.4996298,-1.2714627,0.46180844,-0.023400262,0.72530586,0.9706447,-0.85877734,0.28245187,-0.06813195,-0.72432715,-0.6266751,0.39485192,0.32141078,-0.08673906,0.13962042,0.17597307,1.344307,0.7394201,-1.0109069,-0.04517831,-0.8250985,0.85767233,0.09302135,-1.7375728,0.1461134,0.43852925,0.22054914,-0.44372672,0.06509347,-1.4542024,-0.9080559,-0.4252524,-1.1353141,-0.22268979,0.63435304,-0.092597336,0.21798125,-0.9361583,0.36747944,-1.073396,0.52433276,-0.55026436,0.07430118,0.9696809,0.15899192,0.19017139,0.32897925,0.71264654,0.20193496,0.425937,-1.0719012,0.8734942,-0.8420205,-1.2009078,-0.24367498,0.90381646,-0.69430375,-0.07095724,-0.48539117,0.7135355,0.10611608,-1.1110972,-0.5171726,0.5295284,0.116886854,-0.05608742,0.5252703,0.16762842,0.5086253,-1.3691577,0.29576695,-0.56756854,0.2687625,0.32011914,0.73797524,-0.23405892,0.6147377,0.6068572,-0.47545606,0.5944011,0.105245315,-0.5013763,0.34631988,-0.21702099,-0.21668603,0.04329761,0.60497963,-0.82938075,-0.32044673,-0.14914355,0.24640468,1.3390512,0.6537117,0.29812545,-0.7037684,0.6995026,0.6556452,0.21947798,0.13678573,0.69130373,-0.50829923,-0.06458907,-0.00982821,0.9886704,0.5206982,0.06476376,0.7728531,0.41269764,1.203654,0.4990333,0.17642702,-0.1708937,0.2056606,1.1194657,1.983676,0.78796124,0.039235227,0.12164616,-0.08544944,1.7942938,-1.0596118,-0.08211392,-0.8827172,-0.24815069,1.1405574,-0.2837103,0.7667597,-0.037725125,-0.2367027,0.107277244,-0.2193746,0.50994617,-0.4019218,0.42529196,-0.36662588,-0.32890403,1.0575298,1.3458422,0.31638506,-0.54966474,-0.38361055,0.951018,-0.3097646,0.07607877,-0.7252538,0.5825175,1.7734953,-0.75606227,0.012098633,-1.0142475,-0.5068291,0.59722996,-0.30009657,-0.13710721,1.0307992,0.47842777,-0.89331174,0.49741,-0.41510928,-1.004541,-0.039990112,-0.3898594,0.94805765,0.6521489,-0.24750546,0.12696134,0.11473441,-0.6458858,-0.3343202,-1.9825532,0.5134957,0.52010614,0.21897003,-0.29284605,0.7655784,0.84421504,-0.119884565,-0.5668751,-0.16970079,-0.026506871,-0.15170848,0.22960076,1.0463147,-0.0096623525,-0.005687371,0.7037202,0.32850483,0.6606312,0.69942975,1.0496166,0.57043576,0.6495371,0.3680447,-0.77321,0.2864506,-0.94688064,-0.07474177,-1.9973031,-0.31684202,-0.9235574,-0.9900993,-0.105503336,0.739475,-1.2479458,0.2772688,1.0453209,-1.1199919,-0.6622549,-0.5555066,-1.4729719,0.2243631,-0.054111857,-0.65094805,-0.90650463,2.1606293,1.0838116,1.0714197,0.5741413,-0.0588267,-0.62441427,-0.3101871,-0.14083377,0.75410974,1.2045273,-0.06976021,0.21702892,0.6336982,0.38058612,-0.14436832,-0.65992457,0.32668948,0.42169464,-0.17687483,0.856938,-0.24925976,-1.0377277,1.0548625,-0.077063315,1.1121519,-0.44170147,-1.0670221,-0.14494334,0.37431848,-1.8096787,0.78174204,0.022947848,1.221028,-0.21226078,-1.2958101,-0.9601926,-0.3114698,1.8513532,0.94791174,0.17348196,-0.2926632,0.33796215,1.1723882,-0.82738984,0.56980056,0.4698103,1.1585286,-0.15321375,-0.42715752,0.86251,1.4572608,0.4079071,-0.199389,-0.27379885,-1.2607245,0.44185197,1.0553008,-0.0065417215,-0.68013847,-0.41865468,0.90740883,1.1401291,-0.30076125,-0.95568466,0.58568627,0.47392404,-0.9339018,-0.80252075,-0.6367482,0.25151873,-0.14169496,0.94337213,-0.13137662,-0.43626103,-0.64556634,-1.4728826,-0.46189696,-0.31343374,0.2385857,-0.48650327,0.6650893,-0.2934547,0.4097559,1.5322756,0.34650657,-0.27396673,0.15941319,-0.21764435,-0.517361,0.18743378,0.72824365,0.34219998,0.2453681,0.81904083,-0.03861695,-0.032423466,-1.1346614,-1.5550512,-0.50150657,-1.0996116,-0.7781787,0.49722785,-0.13583569,-0.09999213,0.97031605,0.7503712,0.85660326,-0.9274417,-0.25641176,-0.27158436,-1.0779481,-0.20714797,0.20491768,-0.17384517,-1.7122852,-0.3221087,-0.5291065,1.345797,0.511067,-0.15924177,-1.1512057,-0.11568654,-0.69344497,-0.023476094,-1.3768661,-0.51598716,0.13197544,0.423325,-0.6734859,0.9432657,0.0342473,-0.23582879,0.5250157,0.49038935,-0.6417409,-0.37953222,-0.18260685,-0.061112143,-1.8840717,0.26674366,0.29644498,-1.4410586,1.9701133,-0.3614297,0.85465676,-0.067017406,-0.22890405,-0.34765404,0.43160868,-0.64705896,-0.786642,-0.6163976,0.40958256,0.53919995,1.4201941,0.42911,0.99219024,0.43815076,0.84740317,0.17628162,0.6682502,-0.3854617,-0.6675314,-0.8356898,0.256351,0.1195236,-0.61312574,0.5950271,-0.59112537,-0.5255548,-0.95337963,0.39331955,0.22528918,-1.3861115,0.2671548,0.39582577,0.062828355,0.55689305,-1.4787682,0.07713079,-0.120398946,-1.5330708,-0.9771959,-0.40049434,-0.20223877,-0.210451,0.1309438,0.562526,-1.1454031,-0.59043914,-0.104832366,-0.28340232,-0.20049745,0.4933291,1.3131266,0.29118043,-0.3133674,0.6343883,-0.24681959,0.23513001,0.3788275,-0.07450335,0.48756197,0.73100865,0.0939612,-0.29254553,-0.52194154,0.21993198,0.8903887,-0.7267257,-0.41588378,-0.47271678,-1.4134545,-0.30216628,0.80788887,0.4018607,0.25560117,-1.000482,-0.6760448,-0.59710115,-0.84613657,0.4157254,-0.66453457,0.261282,-0.32441205,-0.21676297,-1.2809197,0.2325702,-0.66303015,0.84995204,1.3014231,-0.24161999,0.7405457,0.7654541,-0.68119514,-0.30460936,0.7430892,-0.45974147,0.20507441,0.4550091,-0.42389098,0.18460919,2.1715572,0.67112297,1.1396564,0.0390283,0.43827844,-0.81254107,0.55619544,-0.36152458,-1.8537829,-0.8391323,-0.9280786,0.14435044,-0.028706066,0.41066653,-0.14336374,-0.25770372,0.8843251,-0.22190067,-0.72781,0.29778865,-0.031028919,1.2322118,-0.768966,-0.13279718,0.8738502,-0.6959101,1.1283579,1.3469805,0.5281319,1.2496351,0.6239115,0.4115129,0.10313356,-0.59641504,-0.2998465,-0.2958493,0.08705056,-0.009491175,-0.3808155,-1.538544,-0.08244975,-1.1504248,0.12386694,0.332118,-0.08382654,-0.44527677,-0.61765814,0.80093575,-0.5141352,0.5784018,-0.40497655,0.16574745,0.19608894,1.3207097,-0.60752964,-0.16416937,-0.2600665,-0.5874491,-0.2609071,0.01065886,-2.231268,1.0408177,0.13616891,0.5671513,0.45553458,0.8474024,0.09087308,0.1457096,0.38185245,1.006983,0.08467717,0.013381392,-1.3777527,-0.7989857,0.49593395,-0.045472234,0.5495915,-1.4947463,0.89868367,-0.3196549,-0.3320931,-0.27586514,-0.51455224,1.770891,-0.48841333,0.6096445,-0.14243114,-0.6503221,-0.8537986,0.079504445,-1.2672862,-0.41814348,-0.10557558,0.3050485,-1.4328113,-0.45343077,0.49819788,1.1863713,0.106618285,0.4653495,-0.10593777,-0.6759325,-1.6525959,-0.44863498,-0.20993741,0.5412771,-0.4092243,0.43554318,2.2669394,1.0763032,1.1099317,-0.10635495,-0.012820153,-1.0740063,-0.70758283,-0.616368,-0.38814852,-0.7647184]"
4,xychart,xychart,ariaCurrent,settings,aria-current setting. [Click here](https://w3c.github.io/aria/#aria-current) for more info @since 5.9.8,,,,,[],{},v5,2025-11-11 09:02:55.685+00,"'/aria/#aria-current)':12 '5.9.8':17 'aria':5 'aria-current':4 'ariacurrent':3 'click':8 'current':6 'for':13 'here':9 'info':15 'more':14 'setting':7 'since':16 'w3c.github.io':11 'w3c.github.io/aria/#aria-current)':10 'xychart':1,2","[-0.1340941,-0.65358865,-3.310368,-1.9143194,0.6515375,-0.70638466,0.20997906,-0.13562274,-0.08773215,0.34716603,-0.1874724,1.081217,1.2964002,0.0178044,0.17636842,-0.4194687,-0.013945483,0.8033184,0.290987,-0.3995149,0.3553037,-1.711626,-0.68008196,0.010746289,1.2465117,0.68994665,0.15806352,1.0830278,-0.8320306,0.23820455,1.3057263,-1.4050245,0.062248684,0.6853641,-0.34984148,-0.8892861,1.4942267,-0.006051995,0.06409104,0.92592555,0.9254874,0.32832375,0.73516893,-0.248465,0.5663175,-1.2237802,1.1008946,0.58489424,-0.35818467,-0.96385705,-0.8162806,0.62791,-0.10030572,-1.0764716,0.48647228,-0.4828407,0.2528264,1.0803195,0.6005056,-1.0237803,0.29083422,1.279781,0.97590315,1.570407,0.3863058,-0.2821746,-0.8844768,0.3060068,-0.2111375,-0.63445944,0.46636507,0.11043533,0.10900831,0.096262336,-0.21169299,-0.37730297,-0.07928179,-1.3504694,-0.0637618,0.06081091,0.31319702,-0.36960816,1.2270452,-0.15910277,1.0653943,-0.07759815,0.37420574,-0.2285538,-1.256814,0.94144046,1.0841222,0.13310717,0.2557867,0.8284362,-0.47955337,-0.9142443,-0.32857436,1.4844741,-0.40546483,-0.05701509,-0.012089364,0.061980177,-0.17633541,0.35267383,-0.31509668,0.5167717,-1.0056893,-0.12017413,-0.13993013,-0.6324816,-0.33891457,-0.18111461,0.47465873,-0.2851133,0.4470321,-0.59473985,0.68146974,-0.23750806,1.270483,0.032450356,-0.99188316,0.036578774,0.4958046,0.19536519,-0.04337668,-0.61551833,-0.65841043,0.14892586,-0.1256115,-1.2292454,-0.50906926,-1.0999162,0.21549597,0.9391365,0.0011809673,0.5932936,0.54294467,-1.0397985,0.09259015,0.6658554,0.83169377,0.82875746,-0.43446487,-0.19793838,-0.14466229,-0.3841645,0.5453063,0.2781983,0.46578938,-0.456574,0.8697,-0.28705794,-0.1259512,0.18251802,0.3120557,-0.47285628,0.28212762,0.3470878,0.24568689,0.5241334,1.097836,0.4411091,-0.07527633,0.3931207,-1.0508382,-0.7864975,-0.8084219,0.33331293,0.3021221,0.035498355,-1.8002019,-0.26141232,-0.0882356,-0.09390044,0.5357701,0.66328776,0.9484526,-1.282227,1.4173943,-1.3990002,0.5621697,-1.0277959,0.84815466,0.39269432,-1.2182014,-0.45955953,0.47976357,-1.0332425,-0.4537917,-0.5842811,0.27197787,-0.5069924,-1.3459346,-0.10239609,-0.4067137,-1.1598184,0.73331964,-0.013406276,0.6169995,1.0641351,-0.6611754,0.34999466,0.46408904,-0.14113973,-0.8348179,0.9975129,0.55029345,-0.13669883,0.7183959,-0.029487006,0.9006709,0.5129826,-0.9515317,-0.4209941,-0.69888437,0.6313845,-0.17704691,-1.4520539,-0.28910577,1.0676875,0.5162802,-0.5804846,0.34588212,-0.9587535,-0.18597122,-0.559542,-1.6030718,-0.25636232,0.32957295,0.21384491,-0.28212386,-0.68721664,-0.03566793,-0.4310413,0.63985896,0.547181,-0.100243635,0.83088017,-0.47187442,0.29039136,0.26651013,0.88073176,0.49011242,0.7369374,-0.80507874,0.92453957,-0.8924737,-0.7931502,0.1726609,1.3107829,-0.21887028,-0.28598714,0.04861816,1.4873362,-0.08787391,-1.31352,-0.90998423,0.9643586,-0.098802865,-0.34550405,0.98230827,-0.4600286,1.5470603,-1.2866392,0.45230702,-0.05148553,0.6600259,0.47649887,0.42323744,-0.48233718,0.35205895,0.40918913,-0.21997407,0.7088257,-0.009468256,-0.34672737,0.40354636,-0.05228968,-0.14146197,-0.28498802,0.4131018,-1.1928923,-0.44328195,-0.37427878,-0.35966897,0.8304267,0.15472473,0.29237646,-0.14881548,0.58608115,0.76803434,-0.091986455,-0.168784,0.66177577,-0.79151016,-0.21588326,0.43124595,0.9436271,0.5122739,0.002895154,0.8038527,0.0051766858,1.2661656,0.17518857,0.61856705,-0.22714412,0.15441135,0.48515612,1.7363387,0.5772561,-0.6632222,0.50955737,-0.23267032,1.7991016,-0.99381125,-0.4154101,-0.68608797,0.23038231,1.2288173,-0.36985886,0.39900476,-0.14806128,-0.46187246,-0.55362,0.1535754,0.49527842,-0.02068161,1.0250466,-0.8081712,-0.052213173,0.9660573,1.0903072,0.17025203,-0.7670486,-0.24110685,0.36381093,-0.63602877,0.289792,-0.37187392,1.2093542,1.8625138,-0.254866,-0.2040078,-1.0700697,-0.5695829,0.6779042,-0.71169204,-0.00986781,1.0930454,0.23500657,-1.1320572,1.3360399,-0.30689335,-0.6622989,-0.46107593,-0.90384674,-0.16175814,0.8010536,-0.18634059,0.6104548,0.24874489,-0.67316455,0.3814746,-1.6833378,0.5161574,0.54148054,-0.14059338,-0.69554716,1.0363765,0.35008687,0.67236507,-0.5008608,-0.391303,-0.04542431,-0.43555906,0.14874801,0.4495669,-0.00013000146,-0.61230576,0.9653011,0.4300652,-0.050244287,0.8868108,1.6672773,0.18045396,0.74566364,0.2217342,-0.45061865,0.35316592,-0.9610723,0.12442501,-1.1018865,0.013415419,-1.2321777,-1.1698943,-0.18343091,0.8938613,-0.6604849,0.1063728,0.85772365,-1.265605,-1.2908858,-0.17518616,-1.3779907,0.48392177,-0.037622184,-1.0500166,-1.4137025,1.9531665,0.40900034,0.66217995,0.47155523,0.02204448,-0.689041,0.4414969,-0.45955247,0.08518271,0.91193193,0.39451224,0.14210196,1.1942289,0.36894166,-0.3863103,-0.9338089,0.3960598,0.5687241,0.17547446,0.6129586,0.03824313,-0.7999761,1.1010962,0.4254831,0.644912,-0.63977695,-1.1049216,0.61831427,0.051391855,-1.513783,0.5405703,-0.2067869,1.6021743,-0.0011252481,-0.8940885,-0.44084916,-0.43433526,1.9659038,-0.055102166,-0.13621643,0.52339756,0.2907208,0.9210377,-0.7194811,0.46378306,0.75565374,0.41310805,-0.49385417,-0.20815848,0.37185925,1.3280542,0.8817925,-1.0347555,0.32440865,-0.6651435,0.67454207,0.68595827,-0.49074984,-0.61139685,-1.2722385,0.6430017,0.59280515,-0.24257356,-0.8463624,0.32865077,-0.006161876,-0.9706677,-0.7258518,0.18335915,0.19069618,-0.1281374,0.9124935,-0.43789512,-0.7042882,-1.3583359,-1.144933,-0.32172245,0.011082384,-0.014394842,-0.768803,0.61668336,0.25898218,1.0046797,1.4259661,0.7507154,-0.2063183,0.076902546,0.019186258,-0.65736425,-0.07451928,0.014158789,0.4705005,0.3723722,0.8391607,0.05264398,-0.3609024,-0.6517843,-0.71612257,-0.45249975,-1.4116752,-0.044715866,-0.1283251,0.46124992,0.06895263,1.4677024,0.06458107,0.32171777,-0.7231146,0.34636593,-0.30153242,-1.125462,-0.28873524,-0.31588924,-0.34840482,-1.3259938,-0.49673897,-0.6025298,1.3066146,0.638126,-0.31559744,-0.67985994,-0.5588561,-0.8533901,-0.44855082,-0.7863501,-0.8715043,0.15952037,0.5433583,-0.5958967,0.64158815,0.19798706,-0.5964103,0.21758774,0.5702062,-0.22114891,-0.35457397,-0.18853775,-0.09466468,-1.5310694,0.30878457,0.022689467,-1.5870221,1.9556601,-0.117407605,1.1582662,0.46286726,-0.11937742,-0.45184216,0.31137714,-0.90158594,-1.1197606,-0.73191965,0.96581495,0.2524145,1.2833877,0.14626202,1.3417016,0.39001602,0.9054389,0.081064075,0.9727902,-0.31669343,-0.7398401,-1.1192169,0.827973,-0.19219688,-0.4753449,0.02299717,-0.84557545,-0.49174327,-0.5138041,0.3824321,-0.2244582,-1.3606875,1.2765676,0.3272459,0.97936463,0.8671194,-1.2582008,-0.38436472,0.14340477,-1.4685627,-0.841921,0.16316134,-0.13646515,0.13347107,0.2339169,0.43932015,-0.7382038,-0.45049882,-0.3828966,-0.44382012,-0.15990722,0.2140246,1.3887084,-0.2235652,-0.28498596,0.4262816,-0.0020657107,0.87360096,0.15097314,-0.3493751,0.4745151,-0.007999465,0.2630592,-0.24348304,-0.00035252422,-0.20841816,1.5854735,-0.25169167,-0.50456333,-0.26014996,-1.3202631,-0.11921422,0.19859238,-0.10150916,0.2693717,-0.755823,-0.76842415,-0.5703648,-0.813879,0.32789654,-0.15363693,0.26997742,-0.47216648,-0.36918336,-0.48443517,0.5479573,0.051024187,1.1177315,0.98201334,0.2481983,1.2515175,0.6347477,-0.6072296,-0.47440597,0.8117181,-0.6768264,0.45028633,0.628109,-0.5934007,0.008015163,2.2000957,0.51748127,1.1577078,0.44133508,0.3928737,-0.6101414,-0.041589536,-1.0402782,-1.6369774,-1.0471443,-1.0625772,-0.02408973,-0.25897768,0.35697442,0.08412577,-0.62341654,1.2413281,-0.55236125,-0.21735424,-0.10661401,-0.18714592,0.67583185,-0.22599879,-0.5289545,1.0866401,-0.19160852,1.1400096,1.095377,0.14224926,1.2877446,1.1775849,0.05991338,-0.051149186,-0.81964016,-0.85735434,0.20904532,-0.3621708,-0.46198514,0.032707926,-1.5187664,0.43226606,-0.714508,0.011975789,0.1307343,-0.009138918,0.099019654,-0.7529838,0.18096527,0.07863417,0.62516177,-0.3962567,0.5726868,0.79522496,0.90584415,-0.49929607,-0.26326114,-0.7085848,-1.0683274,-0.73589325,0.0787833,-1.8051187,1.2508057,-0.07947199,0.06543973,0.31360984,1.1902127,0.113597095,-0.33819562,-0.06801235,0.95076966,-0.17965534,-0.1880536,-1.4374781,-0.88459074,0.05162856,0.43235528,0.29321516,-0.5205518,0.5723201,-0.75126785,-0.5381761,-0.019889116,-0.23020732,1.3672649,-0.5408251,0.6553693,-0.079380855,-0.30441615,-0.387203,-0.3443326,-1.0962539,-0.61990976,-0.19205523,0.25394487,-1.1174376,0.046238743,0.17774038,1.146285,0.35485873,0.19749746,-0.12045493,-0.89265305,-1.0462835,-0.5829285,-0.94338506,0.20750235,-0.10727012,0.6829674,2.9749026,0.7914045,1.1523383,0.035002306,0.011174113,-0.8011586,-0.24126849,-1.1447906,-0.60600996,-1.6879165]"
